task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-linear-regression,Linear Regression: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Linear Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,easy","{"step_1": "Review the theoretical foundations of Linear Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Linear Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Linear Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=6ffa3a671f6,https://scikit-learn.org/stable/#4ea7b52c
react-forms-hard,Forms: Hard Practical Task 6,"A hard-level, course-ready exercise focused on Forms in React. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,React,Advanced,"react,forms,hard","{""step_1"": ""Review the theoretical foundations of Forms within React."", ""step_2"": ""Implement a concise example demonstrating Forms."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Forms in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=9cb53708dd3,https://react.dev/learn#1ba7bd04
react-routing-hard,Routing: Hard Practical Task 8,"A hard-level, course-ready exercise focused on Routing in React. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,React,Advanced,"react,routing,hard","{""step_1"": ""Review the theoretical foundations of Routing within React."", ""step_2"": ""Implement a concise example demonstrating Routing."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Routing in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=c4f5dd2bf6b,https://react.dev/learn#60f94819
react-memoization-hard,Memoization: Hard Practical Task 10,"A hard-level, course-ready exercise focused on Memoization in React. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,React,Advanced,"react,memoization,hard","{""step_1"": ""Review the theoretical foundations of Memoization within React."", ""step_2"": ""Implement a concise example demonstrating Memoization."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Memoization in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=97fedf1e823,https://react.dev/learn#5ba2fbba
node.js-runtime-npm,Runtime & NPM: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Runtime & NPM in Node.js. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Node.js,Beginner,"node.js,runtime,easy","{""step_1"": ""Review the theoretical foundations of Runtime & NPM within Node.js."", ""step_2"": ""Implement a concise example demonstrating Runtime & NPM."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Runtime & NPM in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=7fff359d39a,https://nodejs.org/en/docs#0026bc8b
node.js-modules-easy,Modules: Easy Practical Task 2,"A easy-level, course-ready exercise focused on Modules in Node.js. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Node.js,Beginner,"node.js,modules,easy","{""step_1"": ""Review the theoretical foundations of Modules within Node.js."", ""step_2"": ""Implement a concise example demonstrating Modules."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Modules in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=eec207919dd,https://nodejs.org/en/docs#45e430d6
node.js-fs-streams,FS & Streams: Easy Practical Task 3,"A easy-level, course-ready exercise focused on FS & Streams in Node.js. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Node.js,Beginner,"node.js,fs,easy","{""step_1"": ""Review the theoretical foundations of FS & Streams within Node.js."", ""step_2"": ""Implement a concise example demonstrating FS & Streams."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for FS & Streams in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=114f56af09e,https://nodejs.org/en/docs#a1553bc9
node.js-express-basics,Express Basics: Easy Practical Task 4,"A easy-level, course-ready exercise focused on Express Basics in Node.js. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Node.js,Beginner,"node.js,express,easy","{""step_1"": ""Review the theoretical foundations of Express Basics within Node.js."", ""step_2"": ""Implement a concise example demonstrating Express Basics."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Express Basics in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=cb181c60aa7,https://nodejs.org/en/docs#e4495bf7
node.js-rest-apis,REST APIs: Easy Practical Task 5,"A easy-level, course-ready exercise focused on REST APIs in Node.js. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Node.js,Beginner,"node.js,rest,easy","{""step_1"": ""Review the theoretical foundations of REST APIs within Node.js."", ""step_2"": ""Implement a concise example demonstrating REST APIs."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for REST APIs in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=281eaa37bdf,https://nodejs.org/en/docs#30c9c10b
node.js-middleware-easy,Middleware: Easy Practical Task 6,"A easy-level, course-ready exercise focused on Middleware in Node.js. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Node.js,Beginner,"node.js,middleware,easy","{""step_1"": ""Review the theoretical foundations of Middleware within Node.js."", ""step_2"": ""Implement a concise example demonstrating Middleware."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Middleware in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=c210a6aae69,https://nodejs.org/en/docs#224b09ed
node.js-auth-jwt,Auth (JWT): Easy Practical Task 7,"A easy-level, course-ready exercise focused on Auth (JWT) in Node.js. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Node.js,Beginner,"node.js,auth,easy","{""step_1"": ""Review the theoretical foundations of Auth (JWT) within Node.js."", ""step_2"": ""Implement a concise example demonstrating Auth (JWT)."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Auth (JWT) in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=39d8aaf4cf0,https://nodejs.org/en/docs#489121dc
node.js-databases-mongo,Databases (Mongo): Easy Practical Task 8,"A easy-level, course-ready exercise focused on Databases (Mongo) in Node.js. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Node.js,Beginner,"node.js,databases,easy","{""step_1"": ""Review the theoretical foundations of Databases (Mongo) within Node.js."", ""step_2"": ""Implement a concise example demonstrating Databases (Mongo)."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Databases (Mongo) in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=8dce12e5679,https://nodejs.org/en/docs#c1ef35ac
node.js-ormodm-mongoose,ORM/ODM (Mongoose): Easy Practical Task 9,"A easy-level, course-ready exercise focused on ORM/ODM (Mongoose) in Node.js. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Node.js,Beginner,"node.js,orm/odm,easy","{""step_1"": ""Review the theoretical foundations of ORM/ODM (Mongoose) within Node.js."", ""step_2"": ""Implement a concise example demonstrating ORM/ODM (Mongoose)."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for ORM/ODM (Mongoose) in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=a4b2b96ab5d,https://nodejs.org/en/docs#69f9d2ea
